Time n dist
2e-06 5 0
2e-06 5 0
2e-06 5 0
3e-06 9 0
2e-06 9 0
3e-06 9 0
2e-06 17 0
3e-06 17 0
3e-06 17 0
5e-06 33 0
5e-06 33 0
4e-06 33 0
8e-06 65 0
8e-06 65 0
7e-06 65 0
1.3e-05 129 0
1.3e-05 129 0
1.4e-05 129 0
2.6e-05 257 0
2.6e-05 257 0
2.5e-05 257 0
5.5e-05 513 0
5.5e-05 513 0
5.4e-05 513 0
0.000115 1025 0
0.000114 1025 0
0.000113 1025 0
0.000219 2049 0
0.000217 2049 0
0.000246 2049 0
0.000487 4097 0
0.000493 4097 0
0.000489 4097 0
0.000998 8193 0
0.000998 8193 0
0.000989 8193 0
0.002118 16385 0
0.002095 16385 0
0.002084 16385 0
0.004444 32769 0
0.004419 32769 0
0.004457 32769 0
0.009599 65537 0
0.010165 65537 0
0.009694 65537 0
0.021011 131073 0
0.021339 131073 0
0.021371 131073 0
0.043716 262145 0
0.043652 262145 0
0.043767 262145 0
0.088878 524289 0
0.088697 524289 0
0.088941 524289 0
0.181246 1048577 0
0.179984 1048577 0
0.219567 1048577 0
0.521279 2097153 0
0.441869 2097153 0
0.442597 2097153 0
0.879419 4194305 0
0.881975 4194305 0
0.883913 4194305 0
1.76901 8388609 0
1.76211 8388609 0
1.76864 8388609 0
3.52904 16777217 0
3.54249 16777217 0
3.52824 16777217 0
